problem,num_obj,phase,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV
DTLZ1,3,learning,3.1999263174795014,2.4174551484140308,26.905385403061874,32.93033644130589
DTLZ1,3,decision,1.658898320892523,1.6591277479885713,24.077005858077825,24.08062832865472
DTLZ1,4,learning,2.386096090039148,2.4345126143760005,,
DTLZ1,4,decision,1.7358127383926125,1.7275523687386374,,
DTLZ1,5,learning,3.1876881764284892,2.9813303251934316,,
DTLZ1,5,decision,2.225050477653218,2.77218479718743,,
DTLZ1,6,learning,2.89721883190735,2.781127767971574,,
DTLZ1,6,decision,2.4866909998274283,3.225041609492724,,
DTLZ1,7,learning,3.131195304155108,2.4661404503521718,,
DTLZ1,7,decision,2.507216981752037,2.2289374646236553,,
DTLZ1,8,learning,2.91026737758774,2.519085668693469,,
DTLZ1,8,decision,1.9188150666869057,1.9024602263682158,,
DTLZ1,9,learning,3.025272671896939,3.1567977767536064,,
DTLZ1,9,decision,1.7631112078704165,1.721076123832217,,
DTLZ2,3,learning,0.12900200560275538,0.03958902700618357,32.25694698927102,33.15695035486305
DTLZ2,3,decision,0.15950036169644183,0.11948064812921091,26.077436691521353,26.500492130791088
DTLZ2,4,learning,0.13553963010365838,0.09711043940460791,,
DTLZ2,4,decision,0.21024325429726218,0.14086365873556186,,
DTLZ2,5,learning,1.1444466831924458,0.1708986374987338,,
DTLZ2,5,decision,2.2889115859779494,0.09665619623614492,,
DTLZ2,6,learning,0.46715846232594177,0.30171746461043664,,
DTLZ2,6,decision,0.5164661979209468,0.38860921047762886,,
DTLZ2,7,learning,0.3959095800934771,0.36437768297155965,,
DTLZ2,7,decision,0.13565618129391632,0.12151518538700931,,
DTLZ2,8,learning,0.38139579544210944,0.2694816058524001,,
DTLZ2,8,decision,0.382617132798412,0.22140518544228271,,
DTLZ2,9,learning,0.5454335072437293,0.4033299429662163,,
DTLZ2,9,decision,0.509957530285319,0.3774222862036262,,
DTLZ3,3,learning,0.10040605940143257,0.11924783670826547,33.74909242609549,33.959698420467404
DTLZ3,3,decision,0.08339239310246184,0.0335899934350332,25.399559193701954,25.810494573810868
DTLZ3,4,learning,0.3208667991216892,0.6715987325113594,,
DTLZ3,4,decision,0.33077495075580776,0.05846958110161818,,
DTLZ3,5,learning,0.4342588880989098,1.2819901028730825,,
DTLZ3,5,decision,0.1245236036804869,0.14372861776233403,,
DTLZ3,6,learning,0.34206766241641284,0.7132723624120687,,
DTLZ3,6,decision,0.10466728123597675,0.19206374606700494,,
DTLZ3,7,learning,0.41957812384357446,0.8314257628618216,,
DTLZ3,7,decision,0.6005320741168934,0.4558242257300661,,
DTLZ3,8,learning,0.46402733082470776,1.3739462509675338,,
DTLZ3,8,decision,0.45641709263044916,0.30711158191051685,,
DTLZ3,9,learning,0.6183027087957861,1.1280148416108022,,
DTLZ3,9,decision,0.4236363813456725,0.5448858740199051,,
DTLZ4,3,learning,0.1596776450102116,0.1397125234072387,32.66489468521207,32.80958589649132
DTLZ4,3,decision,0.19535577745623434,0.2000675854943032,24.649999018893816,24.730240791642814
DTLZ4,4,learning,0.10458662311343017,0.06315566872929983,,
DTLZ4,4,decision,0.09418406989290878,0.054227970472501975,,
DTLZ4,5,learning,0.7052385586487879,0.7417504482946438,,
DTLZ4,5,decision,0.9272616797168177,0.9967935978018971,,
DTLZ4,6,learning,1.083149056701173,1.1338131536382519,,
DTLZ4,6,decision,0.9491096147906075,0.9717336456896537,,
DTLZ4,7,learning,3.3449117934227006,0.23661569056733456,,
DTLZ4,7,decision,0.45498175814889963,0.27039879654482357,,
DTLZ4,8,learning,1.3778825221293827,1.1778999900387288,,
DTLZ4,8,decision,1.1191708966819507,1.0343624087053334,,
DTLZ4,9,learning,0.2751025562180411,0.252580577466016,,
DTLZ4,9,decision,0.35064964686550826,0.25328671780533346,,
DTLZ1,3,learning,2.500343595736829,2.5647559716823833,33.37122360979602,32.70263341896581
DTLZ1,3,decision,2.0686110526883885,2.063847320590976,24.756071637329853,24.726191321586093
DTLZ1,4,learning,2.6985921485392383,2.568997822584156,,
DTLZ1,4,decision,1.838174082782524,1.8364468801920704,,
DTLZ1,5,learning,2.672667990480079,2.921912249420191,,
DTLZ1,5,decision,2.1903816065957598,2.678410829531741,,
DTLZ1,6,learning,3.3520343613630192,2.689417288028061,,
DTLZ1,6,decision,2.4719914046513067,2.8289039785153776,,
DTLZ1,7,learning,2.6873659056159473,2.757211130778185,,
DTLZ1,7,decision,1.852090244287121,1.8948614345160832,,
DTLZ1,8,learning,3.290954701590992,3.0550602995837126,,
DTLZ1,8,decision,2.3546996392850423,2.313563648571252,,
DTLZ1,9,learning,3.1056036623498406,2.7611377550104104,,
DTLZ1,9,decision,1.8863100597152946,1.9088165406447417,,
DTLZ2,3,learning,0.11201869181569392,0.10717599961699668,33.92217165280925,34.15449360266507
DTLZ2,3,decision,0.12512356268873626,0.0840929036078121,25.64156163209075,25.971049232356094
DTLZ2,4,learning,1.0040625331995088,0.32257040926994074,,
DTLZ2,4,decision,0.7613373510551236,0.18511322735461205,,
DTLZ2,5,learning,0.14819241055802537,0.1721034903488814,,
DTLZ2,5,decision,0.05044382532927793,0.06309513419550639,,
DTLZ2,6,learning,0.37224975831678164,0.39343369209102,,
DTLZ2,6,decision,0.4009794722396434,0.39103357972158903,,
DTLZ2,7,learning,1.3966914001787414,0.4787271102131709,,
DTLZ2,7,decision,2.6905605825658796,0.28043528188459627,,
DTLZ2,8,learning,0.85598794794075,0.6941265859492439,,
DTLZ2,8,decision,0.46807119066724323,0.2872088698137108,,
DTLZ2,9,learning,0.9563574518618757,0.4103783779744876,,
DTLZ2,9,decision,0.5703567998388465,0.35991034457999344,,
DTLZ3,3,learning,0.21138391006661672,0.2841780665208974,34.83581918956872,33.865468423536576
DTLZ3,3,decision,0.01758611776149531,0.022682527858393572,25.85847285941898,25.92746158507206
