problem,num_obj,iteration,num_gens,reference_point,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV
DTLZ1,3,1,50,[ 0.         13.45625755  8.97083837],0.8493160246994119,0.7418001835873801,7.932228495485683,8.923198503431601
DTLZ1,3,2,50,[1.88716214 0.         2.83074321],0.618305923177949,0.6357410131673132,8.867843994651894,8.744027462049418
DTLZ1,3,3,50,[0.         2.80072665 0.70018166],0.683008705756697,0.6837708041280194,8.369446664687878,8.334363973641622
DTLZ1,3,4,50,[0.47091128 0.         1.88364513],0.563170322977637,0.57729295350576,8.545574254308546,8.037151739629596
DTLZ1,3,5,50,[0.         0.78180669 0.19545167],0.690805816410638,0.6885314679222924,8.2245369548827,8.232911389712514
DTLZ1,3,6,50,[0.         0.70230049 0.17557512],0.6882153841683741,0.6951249591137527,8.260085539083954,8.222260877467884
DTLZ1,3,7,50,[0.         0.37991231 0.09497808],0.6898884553754344,0.6878364343317505,8.225648722771231,8.249219846119233
DTLZ2,3,1,50,[4.28957639e-17 1.01493202e+00 0.00000000e+00],0.008555902293071894,0.003435446955235919,8.079873072566128,8.062006549689546
DTLZ2,3,2,50,[0.97950382 0.24487596 0.        ],0.06576218952465519,0.0700820673246328,8.30286549040146,8.301335457768978
DTLZ2,3,3,50,[1.00090116 0.         0.        ],0.008872461035292113,0.006920651882499005,8.08125934624789,8.061932127700262
DTLZ2,3,4,50,[3.85453291e-18 0.00000000e+00 1.00024547e+00],0.017602336181981062,0.005917387686084618,8.044688684221308,8.073773896927674
DTLZ2,3,5,50,[0.97025978 0.24256495 0.        ],0.041951031287377996,0.06594284138127582,8.393717515409161,8.265173448676942
DTLZ2,3,6,50,[0.97019893 0.24254973 0.        ],0.06524813773930424,0.07187605325429094,8.219574716372438,8.218790595630498
DTLZ2,3,7,50,[0.97019893 0.24254973 0.        ],0.06538541245104133,0.06886245666274737,8.219085797085187,8.23406590915709
DTLZ3,3,1,50,[1.88757885e-31 4.20350509e+01 0.00000000e+00],0.004270822085771125,0.04650584307822881,8.07245387732423,8.00803470953879
DTLZ3,3,2,50,[3.12948240e-32 6.59402635e+00 0.00000000e+00],0.009944139483272305,0.02794278130290279,8.075371615424176,8.04278224166397
DTLZ3,3,3,50,[0.75822087 3.03288349 0.        ],0.06031234751133746,0.0505277377579428,8.338802388893761,8.632153167609141
DTLZ3,3,4,50,[1.2008803  0.30022008 0.        ],0.06178783199258298,0.023520321921912054,8.341016971140201,8.69124713037707
DTLZ3,3,5,50,[4.49799249e-33 0.00000000e+00 1.03900235e+00],0.014952535090908152,0.010115747331578067,8.027349945135718,8.03175268824218
DTLZ3,3,6,50,[4.49799249e-33 0.00000000e+00 1.02954859e+00],0.01197673127880941,0.005897729310770464,8.023230153295746,8.031963223728267
DTLZ3,3,7,50,[4.49799249e-33 0.00000000e+00 1.01973828e+00],0.01210467757002526,0.0111436042196913,8.023698594783784,8.0249518691288
DTLZ4,3,1,50,[6.14557999e-17 0.00000000e+00 1.00693932e+00],0.008863512876953417,0.006514685807029446,8.080387608730389,8.059832850111189
DTLZ4,3,2,50,[3.75249894e-33 1.00137593e+00 0.00000000e+00],0.02348949136839345,0.0061187754705088835,7.943103349709709,8.058234981616662
DTLZ4,3,3,50,[0.56238012 0.84357018 0.        ],0.005414195991932053,0.012413500239799546,8.791650582814327,8.80078724312333
DTLZ4,3,4,50,[0.30359052 0.30359052 0.91077156],0.0281141381001173,0.02502920739945389,8.795671002802976,8.694596161630411
DTLZ4,3,5,50,[0.55489638 0.83234456 0.        ],0.005994667753039642,0.010087313448082409,8.600880328876785,8.628560215076238
DTLZ4,3,6,50,[0.55481504 0.83222256 0.        ],0.005923312188221509,0.010269169719623017,8.63193859942106,8.627959785115952
DTLZ4,3,7,50,[0.55478486 0.83217729 0.        ],0.005900422546013366,0.010236294039148944,8.620683034526008,8.610435768453348
