problem,num_obj,iteration,num_gens,reference_point,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV
DTLZ1,3,1,50,[16.52169596  8.26084798 16.52169596],0.6798318661099382,0.6836923978810184,9.216786706802909,8.910593074748807
DTLZ1,3,2,50,[0.         1.65335334 6.61341337],0.5594252445024931,0.5570543182755595,8.689694398509324,8.704501182891619
DTLZ1,3,3,50,[0.         1.41269229 0.94179486],0.7387495379898491,0.8054261486860743,8.802087809067105,8.34248816670247
DTLZ1,3,4,50,[0.         0.2682345  0.40235176],0.6189790967511453,0.6133656761715367,8.861495928921673,8.912910164624298
DTLZ1,3,5,50,[0.         0.52931294 0.        ],0.5519021046568756,0.5518681196031902,8.080117726496916,8.060299182495775
DTLZ1,3,6,50,[0.         0.         0.51764371],0.8584530259914042,0.5519605625563996,5.60001727381567,8.050499767443048
DTLZ1,3,7,50,[0.10161343 0.10161343 0.3048403 ],0.5921691127342148,0.5986029003503789,8.886455441483708,8.934076229090124
DTLZ1,3,8,50,[0.21160875 0.10580438 0.21160875],0.6793602208634723,0.6901367107706959,9.176858176208583,9.454277307760469
DTLZ1,3,9,50,[0.38359672 0.09589918 0.        ],0.6820614457794041,0.6829542389592779,8.344242502457163,8.300555833697421
DTLZ1,3,10,50,[0.50639729 0.         0.        ],0.5520324708154952,0.5518929767570182,8.062768499431442,8.061474908639
DTLZ1,3,11,50,[0.         0.35572018 0.23714679],1.2589626263394218,0.7766643076142706,4.955247691994793,8.66966079486784
DTLZ1,3,12,50,[0.10164527 0.30493581 0.10164527],0.5976374420015341,0.5902620922943057,8.89139839652024,8.694835886028411
DTLZ1,3,13,50,[0.18718209 0.         0.28077314],0.6259490522051688,0.63099192886737,8.818945157612394,8.778406037253971
DTLZ1,3,14,50,[0.20188439 0.20188439 0.1009422 ],0.7745103834769828,0.7068355429063097,8.028357054349474,9.12861724079878
DTLZ1,3,15,50,[0.27006571 0.         0.18004381],0.7415561122329933,0.7406512907151129,8.772812140405115,8.785764371489295
DTLZ1,3,16,50,[0.09426139 0.28278418 0.09426139],0.5943021029194094,0.5767521438636297,8.907322229003668,9.232404406378466
DTLZ1,3,17,50,[0.09237044 0.27711132 0.09237044],0.5996181516464639,0.5943011069177655,8.768996912625374,8.659770978539356
DTLZ1,3,18,50,[0.09237044 0.27711132 0.09237044],0.5982788500941553,0.5939958277811018,8.795483776196207,8.670081375453703
DTLZ2,3,1,50,[1.84094287e-17 1.01029037e+00 0.00000000e+00],0.00877046493686808,0.006817713394285666,8.082160358233098,8.059861047219622
DTLZ2,3,2,50,[0.33516223 0.67032446 0.67032446],0.5999181655727271,0.01413453086583163,4.629629629629629,9.05087161704361
DTLZ2,3,3,50,[1.0004353 0.        0.       ],0.008814503894751708,0.0060375492033128185,8.076851276778768,8.07552613632343
DTLZ2,3,4,50,[0.90553689 0.30184563 0.30184563],0.036519255231477796,0.03269462248041663,8.768049341381793,8.977771764394145
DTLZ2,3,5,50,[0.67066973 0.33533486 0.67066973],0.02775177380662304,0.05428982148531567,9.169755218182194,8.911246123289569
DTLZ2,3,6,50,[0.30319625 0.30319625 0.90958876],0.02918564461520599,0.02405731455317997,8.799530591390557,8.703311922945945
DTLZ2,3,7,50,[6.93310784e-19 8.34738926e-01 5.56492617e-01],0.00574677793334264,0.009213281243946058,8.767640259713058,8.802904073295505
DTLZ2,3,8,50,[6.93310784e-19 0.00000000e+00 1.00010724e+00],0.008629547360632102,0.006562025396630687,8.0810617558757,8.062975212736324
DTLZ2,3,9,50,[3.74979585e-33 5.55748417e-01 8.33622626e-01],0.01904414883436719,0.010431813096763004,8.74676559373664,8.783149806991233
DTLZ2,3,10,50,[0.55664604 0.         0.83496906],0.0067117438650912,0.00980027211786257,8.771116030793722,8.788693914899467
DTLZ2,3,11,50,[0.24265861 0.97063443 0.        ],0.08923181674511549,0.06920162163183523,8.179197117696416,8.314385758932874
DTLZ2,3,12,50,[0.55473529 0.83210294 0.        ],0.0064508921829077035,0.00891366934376382,8.77680307051971,8.776655256303899
DTLZ2,3,13,50,[0.66709266 0.66709266 0.33354633],0.048850303981943906,0.01989395865722296,8.925973048266163,8.962254758382599
DTLZ2,3,14,50,[0.24255863 0.         0.97023453],0.06525415063265064,0.05419490826396794,8.313156513555674,8.45620700757223
DTLZ2,3,15,50,[0.9705467  0.24263667 0.        ],0.0640068019738927,0.07135934138832689,8.328503009547232,8.29588698088122
DTLZ2,3,16,50,[0.30152442 0.30152442 0.90457327],0.23513844755673066,0.02735370470890123,6.908220856072566,8.729185569431937
DTLZ2,3,17,50,[0.30152442 0.30152442 0.90457327],0.23513844755673066,0.027468221018089007,6.908220856072566,8.674576265525111
DTLZ2,3,18,50,[0.30152442 0.30152442 0.90457327],0.23513844755673066,0.026640879956342043,6.908220856072566,8.678287208267724
DTLZ3,3,1,50,[2.07289578e-31 2.39821608e+01 1.59881072e+01],0.009554211617396401,0.04470088523039601,8.779416014629463,8.415457750052168
DTLZ3,3,2,50,[6.74721787 0.         1.68680447],0.056108481374329944,0.07359449248544248,8.327976625643299,8.47287529872112
DTLZ3,3,3,50,[5.08353389e-33 1.17977262e+00 2.94943155e-01],0.06286759694780188,0.0641964492244878,8.331750170410901,8.29802233484398
