problem,num_obj,iteration,num_gens,reference_point,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV
DTLZ1,3,1,50,[ 0.          0.         23.07320578],1.021333814293902,0.5525123433803616,4.686390732159311,8.043268427155182
DTLZ1,3,2,50,[0.         1.54562938 2.31844407],0.6279724087776192,0.6333454508517217,8.783585354477317,8.568023017992969
DTLZ1,3,3,50,[1.0339743  1.0339743  0.51698715],0.6754114754299844,0.9393659107685922,9.52400355396678,7.026651026606953
DTLZ1,3,4,50,[0.         0.19605368 0.78421472],0.5779838419469376,0.5796662478449086,8.372740531484077,8.114602965061563
DTLZ1,3,5,50,[0.24960627 0.12480314 0.24960627],0.6852912044346557,0.6812998464367529,9.342218803779872,9.13246213399082
DTLZ1,3,6,50,[0.         0.51199554 0.        ],1.0007544979766598,0.5519168076377471,4.665826485956356,8.066799052823402
DTLZ1,3,7,50,[0.3028266 0.        0.2018844],0.7408795974393149,0.7412105001866703,8.919354134348326,8.791681781727045
DTLZ1,3,8,50,[0.19071461 0.         0.28607191],0.6222981892330196,0.6265795616024972,8.816602788224893,8.757073035063366
DTLZ1,3,9,50,[0.09311023 0.         0.37244093],0.5580021624031195,0.5664671456031215,8.750055216177666,8.312224823261234
DTLZ1,3,10,50,[0.19961573 0.19961573 0.09980787],0.6770772083563711,0.6838064923565862,9.2876428943986,9.462478929850137
DTLZ1,3,11,50,[0.3950399  0.         0.09875997],0.6826789015266778,0.682675314966426,8.310098268021934,8.305665709627338
DTLZ1,3,12,50,[0.38568139 0.09642035 0.        ],0.6836530043198432,0.6822628801958031,8.542646769945614,8.307308065720292
DTLZ1,3,13,50,[0.19844829 0.29767243 0.        ],0.625515586387996,0.620040843812988,8.767849002194284,8.844918996173304
DTLZ1,3,14,50,[0.46877939 0.         0.        ],0.5716029198974409,0.5518789454060755,7.918245306810413,8.066029596292013
DTLZ1,3,15,50,[0.         0.29089973 0.19393316],1.0154046702718527,0.736053966945908,6.664191362274314,8.809975982116804
DTLZ1,3,16,50,[0.         0.         0.48421058],0.5999367629423454,0.5519125880929545,7.827275764603705,8.07216539867916
