problem,num_obj,phase,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV
DTLZ1,3,learning,2.259650143102203,2.256954752634009,33.69134044929538,33.48343414825107
DTLZ1,3,decision,1.7871882141286273,1.7800215220159994,25.748620184358806,26.0305031870869
DTLZ1,4,learning,2.3302477284861935,2.32846135629249,,
DTLZ1,4,decision,1.9325258219773733,1.9400369258975854,,
DTLZ1,5,learning,2.7737911348804465,2.446281936978555,,
DTLZ1,5,decision,2.3234420594409784,2.3512064019639958,,
DTLZ1,6,learning,2.404962308608347,2.5077240066384667,,
DTLZ1,6,decision,1.9134046828952727,2.041542007211824,,
DTLZ1,7,learning,2.8011333918631434,2.8643592230475923,,
DTLZ1,7,decision,1.8075371250323733,1.8948614345160835,,
DTLZ1,8,learning,2.6587768326090937,2.7821200719018826,,
DTLZ1,8,decision,1.981985024092845,2.449065075855703,,
DTLZ1,9,learning,2.7238486345919446,3.093968342150743,,
DTLZ1,9,decision,2.5128885244406423,3.295476895595405,,
DTLZ2,3,learning,0.029789002486929325,0.03271506729468682,33.71665276882189,33.67107954291068
DTLZ2,3,decision,0.7078456464986722,0.058222059526890066,22.093033888170027,26.69315233333959
DTLZ2,4,learning,0.7889760265016679,0.1368459604413894,,
DTLZ2,4,decision,0.24801994812885714,0.27459791619444573,,
DTLZ2,5,learning,0.8704935314375938,0.0492617473145797,,
DTLZ2,5,decision,2.2889115859852063,0.09734804850229886,,
DTLZ2,6,learning,0.7803888976329446,0.8920276177623127,,
DTLZ2,6,decision,0.9787355207503607,0.9911931157161142,,
DTLZ2,7,learning,1.1458748822817468,0.6683594495750473,,
DTLZ2,7,decision,0.43115015550479563,0.45465726073113943,,
DTLZ2,8,learning,2.084975280927148,0.8396421358690834,,
DTLZ2,8,decision,5.123520840229132,1.440383868425779,,
DTLZ2,9,learning,1.2410903358024294,0.745150086130441,,
DTLZ2,9,decision,0.4435165318199068,0.47322605359893155,,
DTLZ3,3,learning,0.05249521701104347,0.17948640360183957,35.45429245106341,34.596149363838265
DTLZ3,3,decision,0.016681108318601364,0.02944435979489761,25.892334707805983,25.895434898462018
DTLZ3,4,learning,0.15222475647693176,0.16603814339355483,,
DTLZ3,4,decision,0.11335838234181642,0.12762701742285132,,
DTLZ3,5,learning,0.19457124273976698,0.15040422364226025,,
DTLZ3,5,decision,0.0997440170064349,0.06064180041071482,,
DTLZ3,6,learning,0.4842159195438186,0.41495318687611915,,
DTLZ3,6,decision,0.2760853456382677,0.6435361447939056,,
DTLZ3,7,learning,0.42447408460363445,1.0781519903417416,,
DTLZ3,7,decision,0.13566537060110706,0.20604662040322053,,
DTLZ3,8,learning,0.5801600041258728,0.4875674646935449,,
DTLZ3,8,decision,0.4029117884431857,0.2679568668794845,,
DTLZ3,9,learning,0.5082100216924708,0.6312252312898791,,
DTLZ3,9,decision,1.5064129405372895,0.5659772981242477,,
DTLZ4,3,learning,0.0753009634595467,0.03119667386653912,32.62043589989824,32.96921844666686
DTLZ4,3,decision,0.10008284211672847,0.09712078665352585,25.753502056351287,25.983344378600826
DTLZ4,4,learning,0.4749250992893266,0.3390913796222727,,
DTLZ4,4,decision,0.10911060127559588,0.1115483253647174,,
DTLZ4,5,learning,0.15483934613693676,0.05903318586375388,,
DTLZ4,5,decision,0.043758968099434845,0.08303796734801132,,
DTLZ4,6,learning,0.266253082500006,0.24470809126614357,,
DTLZ4,6,decision,0.2405993127953736,0.2369302884373941,,
DTLZ4,7,learning,0.6971643441481861,0.7626503910808468,,
DTLZ4,7,decision,0.47522177229701235,0.35035198128022293,,
DTLZ4,8,learning,1.1745163061808852,0.9959602842394094,,
DTLZ4,8,decision,1.2212256132274213,1.1212638439551488,,
DTLZ4,9,learning,0.9216087159136405,0.7288327760138434,,
DTLZ4,9,decision,0.5163135945587152,0.3095295007310148,,
DTLZ1,3,learning,2.3894111403833884,2.3618070880509103,33.88225536999316,34.42447309904236
DTLZ1,3,decision,1.7931433792506928,1.7819750654294824,25.77906381611359,25.97622913466821
DTLZ1,4,learning,2.6581896159843117,2.6485476357160405,,
DTLZ1,4,decision,2.126696027357848,2.1161526570902396,,
DTLZ1,5,learning,2.3156404588349986,2.3379228718014957,,
DTLZ1,5,decision,1.7423911184206466,1.7942791564430438,,
DTLZ1,6,learning,2.5393880281003165,2.8511800109606447,,
DTLZ1,6,decision,2.0765352266004067,3.0376940990805914,,
DTLZ1,7,learning,2.51671241206391,2.378649052574789,,
DTLZ1,7,decision,1.727443518368529,1.7184303832914636,,
DTLZ1,8,learning,2.6289751922048685,2.496522350463408,,
DTLZ1,8,decision,2.448147770441505,2.942048023889906,,
DTLZ1,9,learning,2.562573761559878,2.645071307721882,,
DTLZ1,9,decision,2.0441963337307545,2.0298630666412767,,
DTLZ2,3,learning,0.6829465083147951,0.08978189422744025,29.11247581355829,33.468710304030395
DTLZ2,3,decision,1.7997544967181813,0.07386112729609784,13.888888888888886,26.636727432607614
DTLZ2,4,learning,0.11407039789830167,0.06956888054896518,,
DTLZ2,4,decision,0.1927875012726352,0.1435267736911807,,
DTLZ2,5,learning,0.17431864836475763,0.17929324455839607,,
