problem,num_obj,iteration,num_gens,iRVEA_RP,iNSGAIII_RP,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV
DTLZ1,3,1,50,[ 3.52150564  0.         10.56451691],[ 3.52150564  0.         10.56451691],10.839303616944477,10.706306342549889,6.905430811419114,8.000573130164911
DTLZ1,3,2,50,[0.         1.62201721 1.62201721],[0.         1.62201721 1.62201721],2.0339883809662846,1.9746816644950071,7.856328277049109,8.492971209743532
DTLZ1,3,3,50,[0.27089523 0.54179046 0.27089523],[0.27089523 0.54179046 0.27089523],0.6910347575154652,0.7363992513488228,6.509627909790534,6.066827056160732
DTLZ1,3,4,50,[0.30248988 0.15124494 0.15124494],[0.30248988 0.15124494 0.15124494],0.7222153866104519,0.720202839647844,4.659531688086072,4.841006706291527
DTLZ1,3,5,50,[0.         0.40344494 0.13448165],[0.         0.40344494 0.13448165],0.7583283168002515,0.8051318698669606,4.122072823257004,3.884524163717449
DTLZ1,3,6,50,[0.         0.33505515 0.11168505],[0.         0.33505515 0.11168505],0.8553088689011874,0.8679259488899834,3.4390190938540885,3.39186258497417
DTLZ1,3,7,50,[0.         0.32618655 0.10872885],[0.         0.32618655 0.10872885],0.871220864259614,0.8719859825468117,3.3689532029341205,3.3721473202483767
DTLZ2,3,1,50,[5.42573107e-17 9.70065650e-01 3.23355217e-01],[5.42573107e-17 9.70065650e-01 3.23355217e-01],0.022538978404435004,0.022538978404435004,8.366194980961435,8.408082390312734
DTLZ2,3,2,50,[1.10847103e-18 3.19615415e-01 9.58846245e-01],[1.10847103e-18 3.19615415e-01 9.58846245e-01],0.010712687214350815,0.010712687214350815,8.356166441624493,8.300300485873274
DTLZ2,3,3,50,[0.95246375 0.         0.31748792],[0.95246375 0.         0.31748792],0.0852888476572025,0.006218176455132799,7.443015763290382,8.378419787835426
DTLZ2,3,4,50,[1.89991585e-19 1.00059653e+00 0.00000000e+00],[1.89991585e-19 1.00059653e+00 0.00000000e+00],0.013810333653126484,0.0076637752311930745,8.023880902946063,8.030823664905208
DTLZ2,3,5,50,[1.89991585e-19 3.16459013e-01 9.49377038e-01],[1.89991585e-19 3.16459013e-01 9.49377038e-01],0.04286618308653764,0.0015171723090347763,7.710303416938229,8.376702182307204
DTLZ2,3,6,50,[1.89991585e-19 3.16294052e-01 9.48882157e-01],[1.89991585e-19 3.16294052e-01 9.48882157e-01],0.003057460210359902,0.0031281814600168196,8.349457912944361,8.365512581132178
DTLZ2,3,7,50,[8.24173927e-20 3.16278968e-01 9.48836904e-01],[8.24173927e-20 3.16278968e-01 9.48836904e-01],0.0028539783679947394,0.002576034859764724,8.341389416097408,8.357937855320626
DTLZ3,3,1,50,[3.58210829e-31 4.72124107e+01 1.57374702e+01],[3.58210829e-31 4.72124107e+01 1.57374702e+01],49.39597504620318,49.41471235458081,8.56708261922375,8.021953552423916
DTLZ3,3,2,50,[6.87861068e-32 8.53745569e+00 8.53745569e+00],[6.87861068e-32 8.53745569e+00 8.53745569e+00],11.338620409192398,11.35477584324105,8.767314248445466,8.016601657165573
DTLZ3,3,3,50,[0.83278588 0.         2.49835763],[0.83278588 0.         2.49835763],1.69022828616276,1.695627556431595,8.58069290222147,8.269471529159514
DTLZ3,3,4,50,[0.44718408 0.89436816 0.44718408],[0.44718408 0.89436816 0.44718408],0.05650017594053109,0.00907740047024247,8.377197719228715,9.630287524026102
DTLZ3,3,5,50,[0.75000962 0.         0.75000962],[0.75000962 0.         0.75000962],0.06067377104042066,0.06067377104042066,8.751424801223898,8.659921089722818
DTLZ3,3,6,50,[0.72105487 0.         0.72105487],[0.72105487 0.         0.72105487],0.022170197420017388,0.019725572778916973,8.758526199188921,8.757379262202095
DTLZ3,3,7,50,[0.72045808 0.         0.72045808],[0.72045808 0.         0.72045808],0.01950505021120696,0.01888159108514037,8.764466975885878,8.754992376340429
DTLZ4,3,1,50,[5.09842981e-17 1.00369716e+00 0.00000000e+00],[5.09842981e-17 1.00369716e+00 0.00000000e+00],0.026027778965345506,0.00938372688439583,7.90139313874537,8.029905778839376
DTLZ4,3,2,50,[0.41176175 0.82352351 0.41176175],[0.41176175 0.82352351 0.41176175],0.012837638195010485,0.004149305977482092,8.895815945637016,8.981567137969755
DTLZ4,3,3,50,[1.00106045 0.         0.        ],[1.00106045 0.         0.        ],0.02304343209078715,0.00793320251266907,7.905625122760502,8.031636750913481
DTLZ4,3,4,50,[3.75125275e-33 0.00000000e+00 1.00039700e+00],[3.75125275e-33 0.00000000e+00 1.00039700e+00],0.013061210193878495,0.00812755836931981,8.024176309872386,8.030682368877107
DTLZ4,3,5,50,[0.40840574 0.81681148 0.40840574],[0.40840574 0.81681148 0.40840574],0.013288734064387376,0.006514442846012834,8.840460778522463,8.887564052323102
DTLZ4,3,6,50,[0.40834481 0.81668962 0.40834481],[0.40834481 0.81668962 0.40834481],0.013491935656065969,0.009746340167617282,8.836708859758836,8.85071486826698
DTLZ4,3,7,50,[0.40830252 0.81660504 0.40830252],[0.40830252 0.81660504 0.40830252],0.012944011988446755,0.011344481464155301,8.840488743932974,8.758092107163739
