problem,num_obj,iteration,num_gens,reference_point,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV
DTLZ1,3,1,50,[ 0.         13.95573713  0.        ],0.6493792222115758,0.5556229324682932,7.328101121977569,8.010639971819419
DTLZ1,3,2,50,[0.         4.82446628 0.        ],0.5529983113588985,0.5557622826037183,8.024062686019034,8.008030800980052
DTLZ1,3,3,50,[0.         2.60567096 0.        ],0.55307765247956,0.5584390453808203,8.024282028823377,8.000009595166992
DTLZ1,3,4,50,[0.         1.50480273 0.        ],0.553069568337861,0.5535098123190497,8.02096953213869,8.017060055603604
DTLZ1,3,5,50,[0.         0.43793048 0.        ],0.5530791556745136,0.5529826836057002,8.02126452097852,8.032214349405717
DTLZ1,3,6,50,[0.         0.42499772 0.        ],0.552949813146816,0.5528759247651089,8.022477858597103,8.031391918544774
DTLZ1,3,7,50,[0.         0.42008599 0.        ],0.5530183957593747,0.5530807099758307,8.023320610144403,8.031262934596308
DTLZ1,3,8,50,[0.        0.4194872 0.       ],0.5530926275459375,0.5528584361067979,8.024237070982231,8.031957729594348
DTLZ1,3,9,50,[0.         0.41871786 0.        ],0.5529661973394827,0.5530681620334734,8.024024752226396,8.03279340750407
DTLZ1,3,10,50,[0.         0.41687229 0.        ],0.5529813368141102,0.5530814766819501,8.025104187443636,8.030681928046496
DTLZ1,3,11,50,[0.         0.41687229 0.        ],0.553002473452117,0.5530772976179427,8.024264003584836,8.03209943810643
DTLZ1,3,12,50,[0.         0.41509608 0.        ],0.5530504454715487,0.5529391398475465,8.023996226693859,8.03212518680772
DTLZ1,3,13,50,[0.         0.41499357 0.        ],0.5530266094153583,0.5530800933508634,8.02379115857154,8.031852857873963
DTLZ1,3,14,50,[0.         0.41499357 0.        ],0.5530035013161859,0.5530758628639435,8.02404097607415,8.031870829100846
DTLZ1,3,15,50,[0.         0.41464872 0.        ],0.5530187611795545,0.5530785587788062,8.023824295177532,8.031963154019586
DTLZ1,3,16,50,[0.         0.41464872 0.        ],0.5530184326903725,0.5530802410960597,8.02383076028379,8.03181452071863
DTLZ1,3,17,50,[0.         0.41464872 0.        ],0.5530239398001465,0.5530803296124872,8.02449120802134,8.031887108485295
DTLZ1,3,18,50,[0.         0.41426858 0.        ],0.5530187968693273,0.5530763657109131,8.024438290735668,8.031969487724691
DTLZ1,3,19,50,[0.         0.41426858 0.        ],0.5530167531581278,0.5530731135880619,8.025057638709171,8.03198518246329
DTLZ1,3,20,50,[0.         0.41421345 0.        ],0.5530306370567135,0.5530725011567187,8.023954212099417,8.031990486498467
DTLZ2,3,1,50,[0.83351973 0.55567982 0.        ],0.005556204166943862,0.010623127798488997,8.622401684758554,8.637656849929483
DTLZ2,3,2,50,[0.83251619 0.55501079 0.        ],0.0059122392996778066,0.009762999074922606,8.620831870863945,8.632209537902238
DTLZ2,3,3,50,[0.83233232 0.55488821 0.        ],0.005865111647227231,0.012023514233424905,8.621353052225679,8.63574552484476
DTLZ2,3,4,50,[0.83220714 0.55480476 0.        ],0.005882091432077287,0.010032251660574936,8.621127338847757,8.638815074155167
DTLZ2,3,5,50,[0.83217128 0.55478085 0.        ],0.005851987120267273,0.00982000097511798,8.622482721011307,8.606964985927709
DTLZ2,3,6,50,[0.83217128 0.55478085 0.        ],0.005908180698759058,0.010001473194721638,8.619059332419722,8.636408191974544
DTLZ2,3,7,50,[0.83213966 0.55475977 0.        ],0.005780104858439297,0.010072918937367885,8.623165089744592,8.638297157859478
DTLZ2,3,8,50,[0.83213966 0.55475977 0.        ],0.005806855741231299,0.0122182808042982,8.621272903564819,8.617685758483507
DTLZ2,3,9,50,[0.83213966 0.55475977 0.        ],0.00590423774959007,0.009991813257927916,8.620713519209213,8.636818318858612
DTLZ2,3,10,50,[0.83213966 0.55475977 0.        ],0.006021602901333354,0.00861865541249576,8.619483440217964,8.636105417416989
DTLZ2,3,11,50,[0.83213966 0.55475977 0.        ],0.005969802868540706,0.010054749565078031,8.618581394191233,8.636540873091901
DTLZ2,3,12,50,[0.83209919 0.55473279 0.        ],0.006129615615265127,0.009604570748498,8.618481262457138,8.613856734104793
DTLZ2,3,13,50,[0.83209919 0.55473279 0.        ],0.0059382236333366135,0.010677750299414373,8.616027459145856,8.639479464450677
DTLZ2,3,14,50,[0.83209919 0.55473279 0.        ],0.00585709317247177,0.009832144715076064,8.620734245821081,8.643386292782695
DTLZ2,3,15,50,[0.83208063 0.55472042 0.        ],0.0058741190932499595,0.010061854971965094,8.621110616886273,8.640283187461701
DTLZ2,3,16,50,[0.83208063 0.55472042 0.        ],0.0058741190932499595,0.0105830246836182,8.622099878445052,8.636111218128471
DTLZ2,3,17,50,[0.83208063 0.55472042 0.        ],0.0058741190932499595,0.008591512521211516,8.635877961947056,8.622167304412375
DTLZ2,3,18,50,[0.83208063 0.55472042 0.        ],0.005911211768292126,0.009238039196598408,8.621105771572298,8.616587929707324
DTLZ2,3,19,50,[0.83208063 0.55472042 0.        ],0.006073142141600944,0.009947640030984063,8.620655800171164,8.639421493691357
DTLZ2,3,20,50,[0.83208063 0.55472042 0.        ],0.005976907289091376,0.010009715614458264,8.621977122391906,8.639125285169996
DTLZ3,3,1,50,[3.48341000e-31 5.87878729e+01 0.00000000e+00],0.015729597486732513,0.05585888602583089,7.998581084161326,8.004830594582005
DTLZ3,3,2,50,[5.23645825e-32 1.21573588e+01 0.00000000e+00],0.011278642581336071,0.04085097958151813,8.0291902656854,8.019104065205452
DTLZ3,3,3,50,[1.77565304e-32 3.25669950e+00 0.00000000e+00],0.012577305000334379,0.01975605560249686,8.023702474823363,8.02703061667692
DTLZ3,3,4,50,[1.77565304e-32 2.03616958e+00 0.00000000e+00],0.013138590927355564,0.007516088881274705,8.022450059331598,8.033227762572324
DTLZ3,3,5,50,[1.77565304e-32 1.00630229e+00 0.00000000e+00],0.011937593588649563,0.004977098290870143,8.023902835919124,8.034161580098864
DTLZ3,3,6,50,[1.77565304e-32 1.00288718e+00 0.00000000e+00],0.01072227696987684,0.00764049921766553,8.023974301901973,8.029436743257632
DTLZ3,3,7,50,[1.77565304e-32 1.00252171e+00 0.00000000e+00],0.013908624998965138,0.007352449612822871,8.02391714694686,8.031273549704558
DTLZ3,3,8,50,[1.77565304e-32 1.00224274e+00 0.00000000e+00],0.008162613540669045,0.010242658774892536,8.031439772958398,8.031204655050155
DTLZ3,3,9,50,[1.77565304e-32 1.00221161e+00 0.00000000e+00],0.01278067525782057,0.0072776090759120934,8.021977035755066,8.031353352135126
DTLZ3,3,10,50,[1.77565304e-32 1.00219389e+00 0.00000000e+00],0.012810585400545485,0.006870428418409903,8.023946665665504,8.03145029623555
DTLZ3,3,11,50,[3.75761505e-33 1.00216514e+00 0.00000000e+00],0.01382655611660101,0.007056744093594608,8.023816717282694,8.03144830355271
DTLZ3,3,12,50,[3.75761505e-33 1.00214089e+00 0.00000000e+00],0.012167165541459303,0.007042006465242004,8.02443009354935,8.031450485072536
DTLZ3,3,13,50,[3.75761505e-33 1.00212994e+00 0.00000000e+00],0.012191965891696806,0.006947100832903804,8.024085362552752,8.03148175151575
DTLZ3,3,14,50,[3.75761505e-33 1.00211128e+00 0.00000000e+00],0.0121542060970102,0.006905069854044054,8.024177835954717,8.031464480070898
DTLZ3,3,15,50,[3.75761505e-33 1.00211128e+00 0.00000000e+00],0.012479809110015392,0.006952428530635124,8.024194628876726,8.031505386179468
DTLZ3,3,16,50,[3.75761505e-33 1.00210324e+00 0.00000000e+00],0.012828030261512245,0.007027816833830853,8.023836694890582,8.031383020270802
DTLZ3,3,17,50,[3.75726949e-33 1.00210324e+00 0.00000000e+00],0.012594368519812257,0.006994484408947654,8.024224674344593,8.031419141012366
DTLZ3,3,18,50,[3.75726949e-33 1.00210324e+00 0.00000000e+00],0.012720842236643177,0.006934821242974828,8.024081997542098,8.031416261881244
DTLZ3,3,19,50,[3.75726949e-33 1.00209802e+00 0.00000000e+00],0.012625849682076693,0.006934821242974828,8.023840089108331,8.0314106869315
DTLZ3,3,20,50,[3.75726949e-33 1.00209547e+00 0.00000000e+00],0.012647724969087098,0.006946513305479354,8.023934570363446,8.031353917703267
DTLZ4,3,1,50,[0.66820352 0.33410176 0.66820352],0.024476981965699442,0.01717874817692247,8.916744127511334,8.899549479996855
DTLZ4,3,2,50,[0.6671204 0.3335602 0.6671204],0.05294570479130995,0.019917646049208586,8.642366650914543,8.869490944462951
DTLZ4,3,3,50,[0.66701705 0.33350853 0.66701705],0.05107491262456571,0.05158265866074219,8.76522728429097,8.816142360420557
DTLZ4,3,4,50,[0.66694923 0.33347462 0.66694923],0.053001812352733844,0.05072693905226829,8.642650088621652,8.76869557660315
DTLZ4,3,5,50,[0.66685683 0.33342842 0.66685683],0.05189170819293027,0.04976794018946393,8.700599642999286,8.75524722160829
DTLZ4,3,6,50,[0.66683384 0.33341692 0.66683384],0.05327186472029333,0.03271490746116162,8.693909026669758,8.837821459965232
DTLZ4,3,7,50,[0.66679987 0.33339994 0.66679987],0.04997069036043402,0.016351619428135594,8.765912898821075,8.923395427861639
DTLZ4,3,8,50,[0.66679987 0.33339994 0.66679987],0.050777225589038924,0.017856261186660487,8.657456221718336,8.89174935356417
DTLZ4,3,9,50,[0.66679987 0.33339994 0.66679987],0.050279231737199184,0.015129498757488705,8.709640516675151,8.981013855744486
DTLZ4,3,10,50,[0.66677634 0.33338817 0.66677634],0.051194649424848075,0.01905664448288368,8.654260777419259,8.894204364633143
DTLZ4,3,11,50,[0.66677634 0.33338817 0.66677634],0.05199186867423167,0.020256656767759,8.654973392905644,8.908793343255784
DTLZ4,3,12,50,[0.66674884 0.33337442 0.66674884],0.05181626803887693,0.018873723798357778,8.705496973681473,8.891521867237742
DTLZ4,3,13,50,[0.66673353 0.33336676 0.66673353],0.05164386863860564,0.019173353572450064,8.704899357258368,8.898373530851966
DTLZ4,3,14,50,[0.66673223 0.33336611 0.66673223],0.05161048238792862,0.019453244492312376,8.65363421615211,8.900638425381114
DTLZ4,3,15,50,[0.66672961 0.3333648  0.66672961],0.051722628095520855,0.019217766185255423,8.700674322808117,8.887198408885164
DTLZ4,3,16,50,[0.66671701 0.33335851 0.66671701],0.051979871189512375,0.04734994551029353,8.69857585001913,8.791663479235943
DTLZ4,3,17,50,[0.66671701 0.33335851 0.66671701],0.051442690875077406,0.019815518265218907,8.703685427344308,8.886669621071709
DTLZ4,3,18,50,[0.66671701 0.33335851 0.66671701],0.05293465876759863,0.04834107671450991,8.691386522634467,8.751595410240371
DTLZ4,3,19,50,[0.66671033 0.33335517 0.66671033],0.051620861236952933,0.05127993563006694,8.700623510330157,8.760258180332029
DTLZ4,3,20,50,[0.66670374 0.33335187 0.66670374],0.05088236838348532,0.05029532554140274,8.708899949276583,8.82729868218179
