problem,num_obj,iteration,num_gens,reference_point,iRVEA_R_IGD,iNSGAIII_R_IGD,iRVEA_R_HV,iNSGAIII_R_HV
DTLZ1,3,1,50,[ 0.          0.         15.89250091],1.2816618981570447,0.5531023306725724,3.474939761416766,8.020959070340634
DTLZ1,3,2,50,[0.        0.        5.1884245],1.0078622584128039,0.5565183051251493,4.530518939483309,8.00387642836233
DTLZ1,3,3,50,[0.        0.        3.1325671],0.9874705322019423,0.5545777375520987,4.796565426419301,8.015661824296753
DTLZ1,3,4,50,[0.         0.         1.59466159],0.6577193607651762,0.5535069858070678,7.449951873504125,8.015804628453715
DTLZ1,3,5,50,[0.         0.         0.48397289],0.5529445616495909,0.5530856135922952,8.024275650447128,8.029889649606064
DTLZ1,3,6,50,[0.        0.        0.4160443],0.5530661200245258,0.5531493614435387,8.023951096989306,8.031356801203046
DTLZ1,3,7,50,[0.         0.         0.41376431],0.5529436190577129,0.5530954562102305,8.026658829073074,8.031455620663877
DTLZ1,3,8,50,[0.         0.         0.41376431],0.5529431576613388,0.5530911201552385,8.025284987855187,8.031355561362556
DTLZ1,3,9,50,[0.         0.         0.41298149],0.5529792206510576,0.5530925806506051,8.02502282931046,8.031358254897874
DTLZ1,3,10,50,[0.         0.         0.41298149],0.552979623279335,0.5531017860728142,8.024052010102903,8.031105383720309
DTLZ1,3,11,50,[0.         0.         0.41298149],0.5530285477398655,0.5530987934112939,8.024324686114236,8.031419140918672
DTLZ1,3,12,50,[0.         0.         0.41298149],0.5530161679993979,0.5531028606765228,8.023956717390236,8.031419092399096
DTLZ1,3,13,50,[0.         0.         0.41298149],0.5530123953328255,0.5530247372855454,8.024156811138473,8.03143605400756
DTLZ1,3,14,50,[0.         0.         0.41298149],0.5529692581908918,0.5530954528335993,8.02418511112629,8.031412048285773
DTLZ1,3,15,50,[0.         0.         0.41298149],0.5530238925471732,0.5530959727472506,8.024050816275127,8.031417573381852
DTLZ1,3,16,50,[0.         0.         0.41298149],0.5530390681237528,0.553093841891435,8.0239999794706,8.031421192180556
DTLZ1,3,17,50,[0.         0.         0.41298149],0.5530299004991309,0.5531000231499648,8.024120418545058,8.03142171530714
DTLZ1,3,18,50,[0.         0.         0.41298149],0.5530292635215078,0.5531003990168215,8.024036641396528,8.031401889139033
DTLZ1,3,19,50,[0.         0.         0.41298149],0.5530248260614455,0.5530984481390994,8.024106372473083,8.031421866324822
DTLZ1,3,20,50,[0.         0.         0.41298149],0.5530267479312662,0.5530984481390994,8.024485765785217,8.031423107002318
DTLZ2,3,1,50,[0.66771501 0.33385751 0.66771501],0.05270769517927942,0.019684891422017327,8.704829312051723,8.878982857606228
DTLZ2,3,2,50,[0.66719004 0.33359502 0.66719004],0.051728685575245716,0.022028771651645462,8.652006813002176,8.854698687587176
DTLZ2,3,3,50,[0.6668133  0.33340665 0.6668133 ],0.05313894437808164,0.0196234811808367,8.693663205759268,8.880807018044013
DTLZ2,3,4,50,[0.66676178 0.33338089 0.66676178],0.052757050363227455,0.05297360215003202,8.697188659131669,8.758821993298982
DTLZ2,3,5,50,[0.66675712 0.33337856 0.66675712],0.05102259003947271,0.05061572143823877,8.758571748529432,8.777030207792112
DTLZ2,3,6,50,[0.66673157 0.33336579 0.66673157],0.05172371220649921,0.019008937554797524,8.70314686738963,8.885439821839565
DTLZ2,3,7,50,[0.6666914 0.3333457 0.6666914],0.049069788063259075,0.019076423428579313,8.715875972283149,8.893582466556623
DTLZ2,3,8,50,[0.6666914 0.3333457 0.6666914],0.050643976917592155,0.019045016764344107,8.708317627731356,8.892519833630196
